Slice,Count,Total Area,Average Size,%Area,Mean
1169,9,2.296,0.255,14.377,255.000
1170,12,2.314,0.193,14.492,255.000
1171,12,2.197,0.183,13.758,255.000
1172,11,2.131,0.194,13.345,255.000
1173,7,2.103,0.300,13.171,255.000
1174,8,2.229,0.279,13.958,255.000
1175,8,2.202,0.275,13.790,255.000
1176,7,2.157,0.308,13.508,255.000
1177,5,2.120,0.424,13.278,255.000
1178,8,2.738,0.342,17.149,255.000
1179,7,2.730,0.390,17.097,255.000
1180,7,2.727,0.390,17.079,255.000
1181,8,2.534,0.317,15.869,255.000
1182,7,2.562,0.366,16.046,255.000
1183,8,2.569,0.321,16.087,255.000
1184,7,2.478,0.354,15.518,255.000
1185,8,2.584,0.323,16.179,255.000
1186,8,2.634,0.329,16.496,255.000
1187,8,2.599,0.325,16.276,255.000
1188,7,2.540,0.363,15.907,255.000
1189,6,2.502,0.417,15.667,255.000
1190,8,1.975,0.247,12.365,255.000
1191,8,1.867,0.233,11.690,255.000
1192,10,1.832,0.183,11.470,255.000
1193,8,1.818,0.227,11.385,255.000
1194,8,1.797,0.225,11.252,255.000
1195,5,1.013,0.203,6.343,255.000
1196,7,1.052,0.150,6.585,255.000
1197,6,1.147,0.191,7.181,255.000
1198,6,1.602,0.267,10.034,255.000
1199,6,1.726,0.288,10.806,255.000
1200,6,1.859,0.310,11.639,255.000
1201,7,1.814,0.259,11.357,255.000
1202,7,1.840,0.263,11.524,255.000
1203,9,1.829,0.203,11.456,255.000
1204,8,1.879,0.235,11.764,255.000
1205,6,1.596,0.266,9.996,255.000
1206,7,2.143,0.306,13.423,255.000
1207,5,0.915,0.183,5.730,255.000
1208,5,1.488,0.298,9.315,255.000
1209,4,1.379,0.345,8.635,255.000
1210,3,1.173,0.391,7.347,255.000
1211,3,1.254,0.418,7.851,255.000
1212,6,1.454,0.242,9.105,255.000
1213,7,1.936,0.277,12.121,255.000
1214,10,2.044,0.204,12.798,255.000
1215,10,1.943,0.194,12.171,255.000
1216,8,1.895,0.237,11.867,255.000
1217,10,2.034,0.203,12.736,255.000
1218,9,2.028,0.225,12.700,255.000
1219,7,1.726,0.247,10.808,255.000
1220,5,1.085,0.217,6.798,255.000
1221,6,1.070,0.178,6.702,255.000
1222,4,1.007,0.252,6.308,255.000
1223,6,0.999,0.167,6.258,255.000
1224,5,1.019,0.204,6.379,255.000
1225,6,1.586,0.264,9.931,255.000
1226,5,1.680,0.336,10.522,255.000
1227,5,1.764,0.353,11.048,255.000
1228,8,1.671,0.209,10.462,255.000
1229,5,1.737,0.347,10.875,255.000
1230,5,1.770,0.354,11.081,255.000
1231,4,1.718,0.429,10.758,255.000
1232,4,1.718,0.429,10.758,255.000
1233,6,1.701,0.283,10.651,255.000
1234,10,1.724,0.172,10.798,255.000
1235,9,1.652,0.184,10.345,255.000
1236,9,1.578,0.175,9.883,255.000
1237,8,1.584,0.198,9.921,255.000
1238,7,1.612,0.230,10.093,255.000
1239,5,1.658,0.332,10.381,255.000
1240,7,1.633,0.233,10.226,255.000
1241,9,1.583,0.176,9.913,255.000
1242,13,1.618,0.124,10.133,255.000
1243,11,1.539,0.140,9.635,255.000
1244,13,1.596,0.123,9.996,255.000
1245,14,1.544,0.110,9.667,255.000
1246,10,1.470,0.147,9.204,255.000
1247,12,1.580,0.132,9.895,255.000
1248,11,1.344,0.122,8.415,255.000
1249,9,1.275,0.142,7.982,255.000
1250,9,1.214,0.135,7.605,255.000
1251,8,1.210,0.151,7.575,255.000
1252,7,1.174,0.168,7.349,255.000
1253,9,1.239,0.138,7.760,255.000
1254,10,1.253,0.125,7.847,255.000
1255,11,1.273,0.116,7.970,255.000
1256,8,1.168,0.146,7.312,255.000
1257,5,1.197,0.239,7.496,255.000
1258,5,1.095,0.219,6.857,255.000
1259,9,1.091,0.121,6.831,255.000
1260,12,0.990,0.083,6.202,255.000
1261,14,1.063,0.076,6.657,255.000
1262,13,1.199,0.092,7.510,255.000
1263,16,1.079,0.067,6.756,255.000
1264,13,1.024,0.079,6.415,255.000
1265,15,0.999,0.067,6.254,255.000
1266,18,1.077,0.060,6.744,255.000
1267,14,1.156,0.083,7.242,255.000
1268,15,1.171,0.078,7.333,255.000
1269,15,1.206,0.080,7.554,255.000
1270,14,1.190,0.085,7.452,255.000
1271,13,1.208,0.093,7.563,255.000
1272,9,1.296,0.144,8.117,255.000
1273,10,1.354,0.135,8.478,255.000
1274,12,1.343,0.112,8.411,255.000
1275,14,1.594,0.114,9.982,255.000
1276,14,1.539,0.110,9.637,255.000
1277,12,1.362,0.114,8.530,255.000
1278,9,1.293,0.144,8.099,255.000
1279,10,1.330,0.133,8.331,255.000
1280,11,1.495,0.136,9.365,255.000
1281,6,0.791,0.132,4.950,255.000
1282,9,0.908,0.101,5.688,255.000
1283,7,1.006,0.144,6.298,255.000
1284,5,1.368,0.274,8.565,255.000
1285,9,1.073,0.119,6.716,255.000
1286,8,1.660,0.207,10.393,255.000
1287,10,2.225,0.222,13.933,255.000
1288,11,2.146,0.195,13.437,255.000
1289,7,1.862,0.266,11.663,255.000
1290,7,1.797,0.257,11.254,255.000
1291,9,1.412,0.157,8.839,255.000
1292,10,1.461,0.146,9.147,255.000
1293,6,1.464,0.244,9.167,255.000
1294,7,1.722,0.246,10.782,255.000
1295,6,1.748,0.291,10.946,255.000
1296,5,1.463,0.293,9.161,255.000
1297,7,1.506,0.215,9.429,255.000
1298,8,1.539,0.192,9.637,255.000
1299,5,1.501,0.300,9.399,255.000
1300,6,1.504,0.251,9.421,255.000
1301,8,1.960,0.245,12.272,255.000
1302,9,1.960,0.218,12.276,255.000
1303,10,2.069,0.207,12.956,255.000
1304,8,2.046,0.256,12.812,255.000
1305,9,2.094,0.233,13.115,255.000
