Slice,Count,Total Area,Average Size,%Area,Mean
884,12,6.419,0.535,40.200,254.342
885,12,6.338,0.528,39.692,255.000
886,13,6.567,0.505,41.127,255.000
887,13,6.786,0.522,42.494,254.767
888,13,6.804,0.523,42.609,253.831
889,13,6.783,0.522,42.474,254.836
890,13,6.720,0.517,42.085,255.000
891,13,6.691,0.515,41.901,254.860
892,13,7.657,0.589,47.952,255.000
893,15,6.258,0.417,39.188,255.000
894,15,6.176,0.412,38.673,255.000
895,15,6.032,0.402,37.772,255.000
896,15,6.041,0.403,37.829,255.000
897,16,7.749,0.484,48.528,255.000
898,16,6.180,0.386,38.698,255.000
899,16,6.058,0.379,37.938,255.000
900,14,5.914,0.422,37.038,254.967
901,15,5.830,0.389,36.506,254.611
902,15,5.693,0.380,35.651,254.536
903,13,6.142,0.472,38.460,253.975
904,13,6.416,0.494,40.181,253.971
905,14,7.634,0.545,47.804,254.644
906,14,7.404,0.529,46.363,254.663
907,14,7.243,0.517,45.355,254.901
908,15,7.417,0.494,46.446,255.000
909,16,7.243,0.453,45.357,255.000
910,16,7.687,0.480,48.135,255.000
911,16,6.971,0.436,43.657,255.000
912,16,4.946,0.309,30.970,255.000
913,15,5.020,0.335,31.438,255.000
914,13,5.126,0.394,32.099,255.000
915,13,4.649,0.358,29.115,255.000
916,14,4.298,0.307,26.913,255.000
917,16,4.607,0.288,28.851,255.000
918,16,4.595,0.287,28.778,255.000
919,15,4.923,0.328,30.827,255.000
920,13,4.419,0.340,27.671,255.000
921,11,6.740,0.613,42.210,254.892
922,10,6.895,0.690,43.179,255.000
923,12,8.209,0.684,51.405,254.515
924,11,8.264,0.751,51.750,254.883
925,13,7.473,0.575,46.800,255.000
926,17,6.847,0.403,42.879,255.000
927,16,4.970,0.311,31.121,254.799
928,17,4.867,0.286,30.476,255.000
929,15,5.209,0.347,32.619,254.882
930,15,4.826,0.322,30.222,254.848
931,15,4.449,0.297,27.861,255.000
932,14,4.017,0.287,25.153,255.000
933,13,4.265,0.328,26.710,255.000
934,13,4.652,0.358,29.135,255.000
935,12,4.623,0.385,28.952,254.766
936,12,4.857,0.405,30.419,254.750
937,14,4.908,0.351,30.738,254.908
938,15,4.954,0.330,31.026,255.000
939,16,3.242,0.203,20.302,255.000
940,16,3.553,0.222,22.248,255.000
941,11,3.234,0.294,20.254,255.000
942,12,2.961,0.247,18.544,255.000
943,11,2.986,0.271,18.696,255.000
944,13,4.689,0.361,29.361,254.624
945,15,4.915,0.328,30.776,255.000
946,15,5.001,0.333,31.319,255.000
947,16,4.791,0.299,30.004,255.000
948,15,4.729,0.315,29.613,253.050
949,15,4.615,0.308,28.899,255.000
950,14,4.935,0.353,30.905,255.000
951,15,4.953,0.330,31.020,253.547
952,17,4.747,0.279,29.726,255.000
953,17,4.836,0.284,30.286,253.585
